Code;Name;Wert
01;Altstadt Grossbasel;6,7
02;Vorstädte;19,5
03;Am Ring;23,8
04;Breite;36,0
05;St. Alban;32,2
06;Gundeldingen;17,6
07;Bruderholz;71,4
08;Bachletten;41,3
09;Gotthelf;32,4
10;Iselin;36,9
11;St. Johann;28,4
12;Altstadt Kleinbasel;8,1
13;Clara;16,0
14;Wettstein;27,9
15;Hirzbrunnen;59,0
16;Rosental;13,6
17;Matthäus;16,6
18;Klybeck;11,9
19;Kleinhüningen;22,7
20;Riehen;79,6
30;Bettingen;90,2
