Code;Name;Wert
01;Altstadt Grossbasel;69,1
02;Vorstädte;61,6
03;Am Ring;63,8
04;Breite;67,1
05;St. Alban;66,9
06;Gundeldingen;60,7
07;Bruderholz;76,0
08;Bachletten;78,6
09;Gotthelf;72,5
10;Iselin;62,1
11;St. Johann;56,9
12;Altstadt Kleinbasel;62,8
13;Clara;53,1
14;Wettstein;68,9
15;Hirzbrunnen;75,1
16;Rosental;44,2
17;Matthäus;49,5
18;Klybeck;47,6
19;Kleinhüningen;52,6
20;Riehen;73,9
30;Bettingen;75,8
