Code;Name;Wert
01;Altstadt Grossbasel;57,7
02;Vorstädte;55,6
03;Am Ring;117,9
04;Breite;129,8
05;St. Alban;37,5
06;Gundeldingen;161,5
07;Bruderholz;35,7
08;Bachletten;88,4
09;Gotthelf;141,6
10;Iselin;154,3
11;St. Johann;81,7
12;Altstadt Kleinbasel;99,4
13;Clara;175,8
14;Wettstein;73,2
15;Hirzbrunnen;30,1
16;Rosental;104,2
17;Matthäus;265,5
18;Klybeck;78,8
19;Kleinhüningen;21,1
20;Riehen;19,6
30;Bettingen;5,3
