Code;Name;Wert
20;Riehen;186
11;St. Johann;174
06;Gundeldingen;139
05;St. Alban;130
10;Iselin;111
03;Am Ring;102
17;Matthäus;99
02;Vorstädte;95
08;Bachletten;82
14;Wettstein;57
01;Altstadt Grossbasel;55
15;Hirzbrunnen;54
16;Rosental;50
18;Klybeck;50
09;Gotthelf;43
04;Breite;42
12;Altstadt Kleinbasel;36
07;Bruderholz;33
19;Kleinhüningen;27
30;Bettingen;12
13;Clara;N/A
