Code;Name;Wert
01;Altstadt Grossbasel;55,5
02;Vorstädte;52,5
03;Am Ring;50,4
04;Breite;43,2
05;St. Alban;41,5
06;Gundeldingen;43,1
07;Bruderholz;56,7
08;Bachletten;53,5
09;Gotthelf;53,7
10;Iselin;48,1
11;St. Johann;43,7
12;Altstadt Kleinbasel;58,3
13;Clara;54,2
14;Wettstein;46,3
15;Hirzbrunnen;51,2
16;Rosental;43,3
17;Matthäus;44,8
18;Klybeck;38,4
19;Kleinhüningen;38,9
20;Riehen;56,0
30;Bettingen;64,0
