Code;Name;Wert
01;Altstadt Grossbasel;2,1
02;Vorstädte;2,5
03;Am Ring;2,1
04;Breite;2,7
05;St. Alban;2,6
06;Gundeldingen;1,6
07;Bruderholz;3,5
08;Bachletten;2,4
09;Gotthelf;2,2
10;Iselin;2,0
11;St. Johann;2,1
12;Altstadt Kleinbasel;2,1
13;Clara;1,6
14;Wettstein;2,7
15;Hirzbrunnen;3,2
16;Rosental;2,3
17;Matthäus;1,8
18;Klybeck;2,5
19;Kleinhüningen;3,6
20;Riehen;3,9
30;Bettingen;4,5
